curValue,fromValue,diff,entityId,name,prevMonthValue
--------,---------,----,--------,----,--------------
1494713.00,601714.03,892998.97,41200,SCA12,1540357.50
2322557.00,1460897.72,861659.28,41100,SCA11,1979855.27
980121.00,462088.83,518032.17,41220,SCA12 IT,1347027.00
887014.63,654257.80,232756.83,41500,SCA15,908603.53
1389165.00,1386367.35,2797.65,41120,SCA11 IT,1879890.00
6714.00,6321.76,392.24,41600,SCA16,8922.00
653.39,344.50,308.89,40520,SCA05 IT,1015.44
9541.39,9238.18,303.21,40500,SCA05,13716.45
4317.00,4262.06,54.94,40300,SCA03,5718.00
16454.60,16444.05,10.56,41820,SCA18 IT,21771.30
19986.56,19983.06,3.50,41800,SCA18,26764.72
1122.00,1121.12,0.88,41920,SCA19 IT,1556.00
36938.00,36945.02,-7.02,42300,SCA23,46198.00
3444.00,3454.48,-10.48,40600,SCA06,4537.00
1367.00,1379.69,-12.69,40700,SCA07,1753.00
8397.00,8410.61,-13.61,40400,SCA04,11239.00
4262.00,4280.11,-18.11,41720,SCA17 IT,8871.00
17493.00,17533.59,-40.59,41900,SCA19,22205.00
5856.00,5923.92,-67.92,42020,SCA20 IT,8938.00
8450.00,8520.43,-70.43,42000,SCA20,12143.00
22218.00,22293.76,-75.76,42220,SCA22 IT,29189.00
23973.00,24052.81,-79.81,42200,SCA22,31726.00
11591.00,11682.39,-91.39,41700,SCA17,14741.00
5073.00,5175.14,-102.14,41620,SCA16 IT,6601.00
82125.00,82383.24,-258.24,9000,SCA09,112023.00
430946.00,431539.13,-593.13,41400,SCA14,582254.00
410602.00,411296.35,-694.35,10000,SCA10,591328.00
329611.31,330338.30,-726.98,10004,SCA10 IT,479368.63
559485.75,560528.26,-1042.51,41520,SCA15 IT,770894.75
3273.57,5884.53,-2610.96,42120,SCA21 IT,4276.27
8132.56,10749.54,-2616.98,42100,SCA21,11012.27
38120.77,50859.65,-12738.88,9154,SCA09 IT,65360.87
0.00,5048311.98,-5048311.98,4,Santa Clara,0.00

(33 rows affected)
